text,day,weekday,month,year,text_nt,day_bool,month_bool,year_bool,day_match,month_match,year_match,match
أواسط جمادى الأولى من عام ثمانين وسبعماية,15,,5.0,780,"['اواسط', 'جمادى', 'الاولى', 'من', 'عام', 'ثمانين', 'وسبعماية']",False,True,True,,5,780.0,"<re.Match object; span=(0, 42), match=' اواسط جمادى الاولى من عام ثمانين وسبعماية'>"
يوم السبت لثلاث ليال خلون من رجب الأصب سنة خمس وعشرين وسبع ماية,3,Yawm al-sabt,7.0,725,"['يوم', 'السبت', 'لثلاث', 'ليال', 'خلون', 'من', 'رجب', 'الاصب', 'سنة', 'خمس', 'وعشرين', 'وسبع', 'ماية']",False,False,True,,,725.0,"<re.Match object; span=(0, 64), match=' يوم السبت لثلاث ليال خلون من رجب الاصب سنة خمس و>"
ثمان وستمائة,,,,608,"['ثمان', 'وستمائة']",False,False,False,,,,
 ثمان وستمائة,,,,608,"['ثمان', 'وستمائة']",False,False,False,,,,
يوم الأربعاء خامس عشري شهر الله الحرام من سنة ثمان وثلاثين وستمائة,15,Yawm al-arba'a,11.0,638,"['يوم', 'الاربعاء', 'خامس', 'عشري', 'شهر', 'الله', 'الحرام', 'من', 'سنة', 'ثمان', 'وثلاثين', 'وستمائة']",False,False,True,,,638.0,"<re.Match object; span=(0, 67), match=' يوم الاربعاء خامس عشري شهر الله الحرام من سنة ثم>"
اثنتين وتسعين وستمائة,,,,692,"['اثنتين', 'وتسعين', 'وستمائة']",False,False,False,,,,
يوم الخميس لإحدى عشر ليلة خلت من شهر رجب سنة أربع وثمانين وستمائة,11,Yawm al-khamis,7.0,684,"['يوم', 'الخميس', 'لاحدى', 'عشر', 'ليلة', 'خلت', 'من', 'شهر', 'رجب', 'سنة', 'اربع', 'وثمانين', 'وستمائة']",False,True,True,,7,684.0,"<re.Match object; span=(0, 66), match=' يوم الخميس لاحدى عشر ليلة خلت من شهر رجب سنة ارب>"
أولها يوم الجمعة سلخ المحرم من سنة خمس وثلاثين وسبعمائة وآخرها يوم الثلاثاء ثامن شهر ربيع الآخر,8,Yawm al-juma,4.0,735,"['اولها', 'يوم', 'الجمعة', 'سلخ', 'المحرم', 'من', 'سنة', 'خمس', 'وثلاثين', 'وسبعمائة', 'واخرها', 'يوم', 'الثلاثاء', 'ثامن', 'شهر', 'ربيع', 'الاخر']",False,False,True,,1,735.0,"<re.Match object; span=(0, 56), match=' اولها يوم الجمعة سلخ المحرم من سنة خمس وثلاثين و>"
سادس عشر شهر ربيع الآخرة سنة ثمان وثمانين وثمانمائة,16,,4.0,888,"['سادس', 'عشر', 'شهر', 'ربيع', 'الاخرة', 'سنة', 'ثمان', 'وثمانين', 'وثمانمائة']",False,False,True,,,888.0,"<re.Match object; span=(0, 52), match=' سادس عشر شهر ربيع الاخرة سنة ثمان وثمانين وثمانم>"
"يوم الأربعاء رابع عشري شهر جمادى [....]
ثمان ماية",14,Yawm al-arba'a,5.0,800- 899,"['يوم', 'الاربعاء', 'رابع', 'عشري', 'شهر', 'جمادى', '.', '.', '.', '.', 'ثمان', 'ماية']",False,False,False,,,,
ثلاث وثمانين [وستمائة,,,,683,"['ثلاث', 'وثمانين', 'وستمائة']",False,False,False,,,,
يوم السبت لخمس إن بقين من شهر ربيع الآخر سنة خمس وخمسين وستمائة,25,Yawm al-sabt,4.0,655,"['يوم', 'السبت', 'لخمس', 'ان', 'بقين', 'من', 'شهر', 'ربيع', 'الاخر', 'سنة', 'خمس', 'وخمسين', 'وستمائة']",False,True,True,,4,655.0,"<re.Match object; span=(0, 64), match=' يوم السبت لخمس ان بقين من شهر ربيع الاخر سنة خمس>"
في صفر ثمانين وخمس ماية,,,2.0,580,"['في', 'صفر', 'ثمانين', 'وخمس', 'ماية']",False,False,False,,,,
في العشر [...] سنة أربع وثمانين وخمس ماية,10,,,584,"['في', 'العشر', '.', '.', '.', 'سنة', 'اربع', 'وثمانين', 'وخمس', 'ماية']",False,True,True,,,584.0,"<re.Match object; span=(15, 42), match=' سنة اربع وثمانين وخمس ماية'>"
عشرون من شهر رمضان المعظم [...] وستماية,20,,9.0,600- 655,"['عشرون', 'من', 'شهر', 'رمضان', 'المعظم', '.', '.', '.', 'وستماية']",False,False,False,,,,
يوم الخميس الثالث والعشرين من ذي القعدة سنت [كذا في الأصل] سبع وأربعين وخمس ماية,23,Yawm al-khamis,11.0,547,"['يوم', 'الخميس', 'الثالث', 'والعشرين', 'من', 'ذي', 'القعدة', 'سنت', 'كذا', 'في', 'الاصل', 'سبع', 'واربعين', 'وخمس', 'ماية']",False,False,False,,,,
 في السابع والعشرين من [رجب؟] المعظم من سنة ثمانين وخمس ماية,27,,7.0,580,"['في', 'السابع', 'والعشرين', 'من', 'رجب', '؟', 'المعظم', 'من', 'سنة', 'ثمانين', 'وخمس', 'ماية']",False,False,True,,,580.0,"<re.Match object; span=(28, 59), match=' المعظم من سنة ثمانين وخمس ماية'>"
سبع وسبعين وخمس ماية,,,,577,"['سبع', 'وسبعين', 'وخمس', 'ماية']",False,False,False,,,,
لعشر بقين من شعبان سنة ثمان وثمانين وخمسماية,19,,8.0,588,"['لعشر', 'بقين', 'من', 'شعبان', 'سنة', 'ثمان', 'وثمانين', 'وخمسماية']",False,True,True,,8,588.0,"<re.Match object; span=(0, 45), match=' لعشر بقين من شعبان سنة ثمان وثمانين وخمسماية'>"
يوم الجمعة في العشر الأخير من ,21- 30,Yawm al-juma,,,"['يوم', 'الجمعة', 'في', 'العشر', 'الاخير', 'من']",False,False,False,,,,
ليلة الثلاثىن من شهر رمضان سنة ثلاثة عشر بعد المايتين اللتين بعد الألف من الهجرة,30,,9.0,1213,"['ليلة', 'الثلاثىن', 'من', 'شهر', 'رمضان', 'سنة', 'ثلاثة', 'عشر', 'بعد', 'المايتين', 'اللتين', 'بعد', 'الالف', 'من', 'الهجرة']",False,True,False,,9,,"<re.Match object; span=(0, 31), match=' ليلة الثلاثىن من شهر رمضان سنة'>"
الحادي والعشرين من شوال المبارك سنة خمس ثمانين وسبعماية,21,,10.0,785,"['الحادي', 'والعشرين', 'من', 'شوال', 'المبارك', 'سنة', 'خمس', 'ثمانين', 'وسبعماية']",False,False,True,,,785.0,"<re.Match object; span=(0, 56), match=' الحادي والعشرين من شوال المبارك سنة خمس ثمانين و>"
لتسع ليال إن بقين من شوال سنة أربع وأربعين وستماية,20,,10.0,644,"['لتسع', 'ليال', 'ان', 'بقين', 'من', 'شوال', 'سنة', 'اربع', 'واربعين', 'وستماية']",False,True,True,,10,644.0,"<re.Match object; span=(0, 51), match=' لتسع ليال ان بقين من شوال سنة اربع واربعين وستما>"
يوم الأربعاء ثامن شهر رمضان المعظم من سنة خمس وأربعين وسبعمئة,18,Yawm al-arba'a,9.0,745,"['يوم', 'الاربعاء', 'ثامن', 'شهر', 'رمضان', 'المعظم', 'من', 'سنة', 'خمس', 'واربعين', 'وسبعمئة']",False,True,True,8.0,9,745.0,"<re.Match object; span=(0, 62), match=' يوم الاربعاء ثامن شهر رمضان المعظم من سنة خمس وا>"
يوم الأربعاء سادس عشرين شعبان المبارك سنة ثلاث وستين وثمانمائة,26,Yawm al-arba'a,8.0,863,"['يوم', 'الاربعاء', 'سادس', 'عشرين', 'شعبان', 'المبارك', 'سنة', 'ثلاث', 'وستين', 'وثمانمائة']",False,False,True,,,863.0,"<re.Match object; span=(0, 63), match=' يوم الاربعاء سادس عشرين شعبان المبارك سنة ثلاث و>"
رابع عشر جماد[ى] آخر سنة سبعة وثلاثين وثمانماية,14,,6.0,837,"['رابع', 'عشر', 'جمادى', 'اخر', 'سنة', 'سبعة', 'وثلاثين', 'وثمانماية']",False,False,False,,End of,,"<re.Match object; span=(0, 23), match=' رابع عشر جمادى اخر سنة'>"
خامس عشر جماد[ى] آخر سنة سبعة وثلاثين وثمانماية,15,,6.0,837,"['خامس', 'عشر', 'جمادى', 'اخر', 'سنة', 'سبعة', 'وثلاثين', 'وثمانماية']",False,False,False,,End of,,"<re.Match object; span=(0, 23), match=' خامس عشر جمادى اخر سنة'>"
 يوم السبت ثالث عشري جماد[ى] أول من شهور سنة سبعة وثلاثين وثمانماية,23,Yawm al-sabt,5.0,837,"['يوم', 'السبت', 'ثالث', 'عشري', 'جمادى', 'اول', 'من', 'شهور', 'سنة', 'سبعة', 'وثلاثين', 'وثمانماية']",False,False,False,,,,"<re.Match object; span=(0, 42), match=' يوم السبت ثالث عشري جمادى اول من شهور سنة'>"
يوم السبت حادي عشر ربيع الآخرة عام ألف,11,Yawm al-sabt,4.0,1000,"['يوم', 'السبت', 'حادي', 'عشر', 'ربيع', 'الاخرة', 'عام', 'الف']",False,False,False,,,,"<re.Match object; span=(0, 35), match=' يوم السبت حادي عشر ربيع الاخرة عام'>"
سلخ رجب أشهر تاريخه,25- 30,,7.0,,"['سلخ', 'رجب', 'اشهر', 'تاريخه']",False,False,False,,,,
رابع عشري صفر سنة سبع وتسعين وسبعمية,24,,2.0,797,"['رابع', 'عشري', 'صفر', 'سنة', 'سبع', 'وتسعين', 'وسبعمية']",False,True,True,14.0,2,797.0,"<re.Match object; span=(0, 37), match=' رابع عشري صفر سنة سبع وتسعين وسبعمية'>"
يوم الخميس تاسع عشري رجب سنة سبع وثلاثين وثماني ماية,29,Yawm al-khamis,7.0,837,"['يوم', 'الخميس', 'تاسع', 'عشري', 'رجب', 'سنة', 'سبع', 'وثلاثين', 'وثماني', 'ماية']",False,True,True,19.0,7,837.0,"<re.Match object; span=(0, 53), match=' يوم الخميس تاسع عشري رجب سنة سبع وثلاثين وثماني >"
خمس وثلاثين وستمية,,,5.0,635,"['خمس', 'وثلاثين', 'وستمية']",False,False,False,,,,
يوم الخميس سادس عشري صفر سنة ست وسبعين وخمس ماية,26,Yawm al-khamis,2.0,576,"['يوم', 'الخميس', 'سادس', 'عشري', 'صفر', 'سنة', 'ست', 'وسبعين', 'وخمس', 'ماية']",False,True,True,16.0,2,576.0,"<re.Match object; span=(0, 49), match=' يوم الخميس سادس عشري صفر سنة ست وسبعين وخمس ماية>"
 نصف شهر ربيع الآخر سنة اثنتين وأربعين وستماية,15,,4.0,642,"['نصف', 'شهر', 'ربيع', 'الاخر', 'سنة', 'اثنتين', 'واربعين', 'وستماية']",False,True,True,,4,642.0,"<re.Match object; span=(0, 46), match=' نصف شهر ربيع الاخر سنة اثنتين واربعين وستماية'>"
رابع وعشرين شهر الله الأصب رجب من شهور سنة اثنتين وأربعين وستماية,24,,7.0,642,"['رابع', 'وعشرين', 'شهر', 'الله', 'الاصب', 'رجب', 'من', 'شهور', 'سنة', 'اثنتين', 'واربعين', 'وستماية']",False,True,True,,7,642.0,"<re.Match object; span=(0, 66), match=' رابع وعشرين شهر الله الاصب رجب من شهور سنة اثنتي>"
في يوم الخميس سادس عشري صفر سنة إحدى وثمانين ستماية,26,Yawm al-khamis,2.0,681,"['في', 'يوم', 'الخميس', 'سادس', 'عشري', 'صفر', 'سنة', 'احدى', 'وثمانين', 'ستماية']",False,True,True,16.0,2,681.0,"<re.Match object; span=(0, 52), match=' في يوم الخميس سادس عشري صفر سنة احدى وثمانين ستم>"
يوم الاثنين لعشر إن بقين من ربيع الآخر سنة ثلاث وسبع ماية,19,Yawm al-ithnayn,4.0,703,"['يوم', 'الاثنين', 'لعشر', 'ان', 'بقين', 'من', 'ربيع', 'الاخر', 'سنة', 'ثلاث', 'وسبع', 'ماية']",False,True,True,,4,703.0,"<re.Match object; span=(0, 58), match=' يوم الاثنين لعشر ان بقين من ربيع الاخر سنة ثلاث >"
 يوم السبت الثامن من شهر رمضان من سنة ثمان وتسعين وخمس ماية,18,Yawm al-sabt,9.0,598,"['يوم', 'السبت', 'الثامن', 'من', 'شهر', 'رمضان', 'من', 'سنة', 'ثمان', 'وتسعين', 'وخمس', 'ماية']",False,True,True,8.0,9,598.0,"<re.Match object; span=(0, 59), match=' يوم السبت الثامن من شهر رمضان من سنة ثمان وتسعين>"
يوم الاثنين تاسع عشر جمادى الأول شهر ربيع الآخر سنة ثلاث وثلاثين وست ماية,19,Yawm al-ithnayn,4.0,633,"['يوم', 'الاثنين', 'تاسع', 'عشر', 'جمادى', 'الاول', 'شهر', 'ربيع', 'الاخر', 'سنة', 'ثلاث', 'وثلاثين', 'وست', 'ماية']",False,True,True,,4,633.0,"<re.Match object; span=(0, 74), match=' يوم الاثنين تاسع عشر جمادى الاول شهر ربيع الاخر >"
ثالث عشري رجب سنة اثنتين وسبعماية,23,,7.0,702,"['ثالث', 'عشري', 'رجب', 'سنة', 'اثنتين', 'وسبعماية']",False,True,True,13.0,7,702.0,"<re.Match object; span=(0, 34), match=' ثالث عشري رجب سنة اثنتين وسبعماية'>"
 يوم الاحد يوم عرفة عشر [شهر] الله سنة كتبه من سنة خمس وست ماية,10,Yawm al-ahad,12.0,605,"['يوم', 'الاحد', 'يوم', 'عرفة', 'عشر', 'شهر', 'الله', 'سنة', 'كتبه', 'من', 'سنة', 'خمس', 'وست', 'ماية']",False,False,False,,,,"<re.Match object; span=(0, 36), match=' يوم الاحد يوم عرفة عشر شهر الله سنة'>"
 الجمعة آخر رمضان من سنة سبع وثلاثين وسبعمية,30,Yawm al-juma,9.0,737,"['الجمعة', 'اخر', 'رمضان', 'من', 'سنة', 'سبع', 'وثلاثين', 'وسبعمية']",False,True,True,,9,737.0,"<re.Match object; span=(0, 44), match=' الجمعة اخر رمضان من سنة سبع وثلاثين وسبعمية'>"
يوم الجمعة الخامس من ذي المحرم من سنة خمس وثلاثين وستماية,5,Yawm al-juma,1.0,635,"['يوم', 'الجمعة', 'الخامس', 'من', 'ذي', 'المحرم', 'من', 'سنة', 'خمس', 'وثلاثين', 'وستماية']",False,True,True,,1,635.0,"<re.Match object; span=(0, 58), match=' يوم الجمعة الخامس من ذي المحرم من سنة خمس وثلاثي>"
خمس وست ماية,9,,12.0,605,"['خمس', 'وست', 'ماية']",False,False,False,,,,
يوم الجمعة حادي عشر ثامن │صح│ رجب المبارك سنة ثمان وستماية,18,Yawm al-juma,7.0,608,"['يوم', 'الجمعة', 'حادي', 'عشر', 'ثامن', '│', 'صح', '│', 'رجب', 'المبارك', 'سنة', 'ثمان', 'وستماية']",False,True,True,,7,608.0,"<re.Match object; span=(32, 61), match=' رجب المبارك سنة ثمان وستماية'>"
ضحى ثاني عيد الأضحى سنة ثمان وستماية,11,,12.0,608,"['ضحى', 'ثاني', 'عيد', 'الاضحى', 'سنة', 'ثمان', 'وستماية']",False,False,True,,,608.0,"<re.Match object; span=(0, 37), match=' ضحى ثاني عيد الاضحى سنة ثمان وستماية'>"
يوم الأربعاء ثاني عشري شعبان سنة خمس وأربعين وسبعمية,22,Yawm al-arba'a,8.0,745,"['يوم', 'الاربعاء', 'ثاني', 'عشري', 'شعبان', 'سنة', 'خمس', 'واربعين', 'وسبعمية']",False,True,True,12.0,8,745.0,"<re.Match object; span=(0, 53), match=' يوم الاربعاء ثاني عشري شعبان سنة خمس واربعين وسب>"
رجب من سنة سبع وثمانين وأربعماية,29,,7.0,487,"['رجب', 'من', 'سنة', 'سبع', 'وثمانين', 'واربعماية']",False,True,True,,7,487.0,"<re.Match object; span=(0, 33), match=' رجب من سنة سبع وثمانين واربعماية'>"
الثلاثاء لخمسٍ مضين من ذي القعدة من سنة تسع وعشرين وستمائة,5,Yawm al-thalatha,11.0,629,"['الثلاثاء', 'لخمس', 'مضين', 'من', 'ذي', 'القعدة', 'من', 'سنة', 'تسع', 'وعشرين', 'وستمائة']",False,True,True,,11,629.0,"<re.Match object; span=(0, 58), match=' الثلاثاء لخمس مضين من ذي القعدة من سنة تسع وعشري>"
ذي القعدة لعام تسعة وعشرين وستمائة,,,11.0,629,"['ذي', 'القعدة', 'لعام', 'تسعة', 'وعشرين', 'وستمائة']",False,False,False,,,,
نصف شهر ربيع الأول سنة اثنتين وأربعين و[ستمائة],15,,3.0,642,"['نصف', 'شهر', 'ربيع', 'الاول', 'سنة', 'اثنتين', 'واربعين', 'وستمائة']",False,True,True,,3,642.0,"<re.Match object; span=(0, 46), match=' نصف شهر ربيع الاول سنة اثنتين واربعين وستمائة'>"
يوم الأحد السابع من شهر رجب سنة ست وسبعين وست مائة,,Yawm al-ahad,7.0,676,"['يوم', 'الاحد', 'السابع', 'من', 'شهر', 'رجب', 'سنة', 'ست', 'وسبعين', 'وست', 'مائة']",False,True,True,7.0,7,676.0,"<re.Match object; span=(0, 51), match=' يوم الاحد السابع من شهر رجب سنة ست وسبعين وست ما>"
في يوم الخميس العشرين من جمادى الأولى سنة تسع وستين وسبعمائة,20,Yawm al-khamis,5.0,769,"['في', 'يوم', 'الخميس', 'العشرين', 'من', 'جمادى', 'الاولى', 'سنة', 'تسع', 'وستين', 'وسبعمائة']",False,True,True,25.0,5,769.0,"<re.Match object; span=(0, 61), match=' في يوم الخميس العشرين من جمادى الاولى سنة تسع وس>"
الجمعة |الثاني| من ذي القعدة سنة سبع عشرة وسبعمئة,2,Yawm al-juma,11.0,717,"['الجمعة', '|', 'الثاني', '|', 'من', 'ذي', 'القعدة', 'سنة', 'سبع', 'عشرة', 'وسبعمئة']",False,True,True,,11,717.0,"<re.Match object; span=(18, 52), match=' من ذي القعدة سنة سبع عشرة وسبعمئة'>"
يوم السبت لليلتين خلتا من شهر رمضان سنة إحدى وثمانين وستمئة,2,Yawm al-sabt,9.0,681,"['يوم', 'السبت', 'لليلتين', 'خلتا', 'من', 'شهر', 'رمضان', 'سنة', 'احدى', 'وثمانين', 'وستمئة']",False,True,True,,9,681.0,"<re.Match object; span=(0, 60), match=' يوم السبت لليلتين خلتا من شهر رمضان سنة احدى وثم>"
يوم الخميس ثاني رمضان المبارك سنة ست وعشرين وسبع مائة,2,Yawm al-khamis,9.0,726,"['يوم', 'الخميس', 'ثاني', 'رمضان', 'المبارك', 'سنة', 'ست', 'وعشرين', 'وسبع', 'مائة']",False,False,True,,,726.0,"<re.Match object; span=(0, 54), match=' يوم الخميس ثاني رمضان المبارك سنة ست وعشرين وسبع>"
يوم الجمعة لثلاث بقين من شهر ربيع مولد النبي صلى الله عليه وسلم سنة خمس وتسعين وستمائة,27,Yawm al-juma,3.0,695,"['يوم', 'الجمعة', 'لثلاث', 'بقين', 'من', 'شهر', 'ربيع', 'مولد', 'النبي', 'صلى', 'الله', 'عليه', 'وسلم', 'سنة', 'خمس', 'وتسعين', 'وستمائة']",False,False,True,,,695.0,"<re.Match object; span=(0, 87), match=' يوم الجمعة لثلاث بقين من شهر ربيع مولد النبي صلى>"
يوم الأحد ثالث عشري ذي القعدة سنة أربعين وسبعمائة,3,Yawm al-ahad,11.0,740,"['يوم', 'الاحد', 'ثالث', 'عشري', 'ذي', 'القعدة', 'سنة', 'اربعين', 'وسبعمائة']",False,True,True,13.0,11,740.0,"<re.Match object; span=(0, 50), match=' يوم الاحد ثالث عشري ذي القعدة سنة اربعين وسبعمائ>"
يوم الأربعاء لسبع بقين من ربيع الأول سنة خمس وستين وستماية,23,Yawm al-arba'a,3.0,665,"['يوم', 'الاربعاء', 'لسبع', 'بقين', 'من', 'ربيع', 'الاول', 'سنة', 'خمس', 'وستين', 'وستماية']",False,True,True,,3,665.0,"<re.Match object; span=(0, 59), match=' يوم الاربعاء لسبع بقين من ربيع الاول سنة خمس وست>"
يوم الجمعة رابع عشر ربيع الآخر سنة أربع وستين وستماية,,Yawm al-juma,4.0,664,"['يوم', 'الجمعة', 'رابع', 'عشر', 'ربيع', 'الاخر', 'سنة', 'اربع', 'وستين', 'وستماية']",False,True,True,14.0,4,664.0,"<re.Match object; span=(0, 54), match=' يوم الجمعة رابع عشر ربيع الاخر سنة اربع وستين وس>"
منتصف صفر سنة إحدى وسبعين وستمائة,15,,2.0,671,"['منتصف', 'صفر', 'سنة', 'احدى', 'وسبعين', 'وستمائة']",False,True,True,,2,671.0,"<re.Match object; span=(0, 34), match=' منتصف صفر سنة احدى وسبعين وستمائة'>"
يوم السبت الرابع والعشرين من شهر جمادى الأولى خمس وثلاثين وسبعماية,24,Yawm al-sabt,5.0,735,"['يوم', 'السبت', 'الرابع', 'والعشرين', 'من', 'شهر', 'جمادى', 'الاولى', 'خمس', 'وثلاثين', 'وسبعماية']",False,False,False,,,,
سبع عشرة وخمس مائة,,,,517,"['سبع', 'عشرة', 'وخمس', 'مائة']",False,False,False,,,,
لعشر إن بقين من ربيع الأول سنة ثلاث وستين وستمائة,20,,3.0,663,"['لعشر', 'ان', 'بقين', 'من', 'ربيع', 'الاول', 'سنة', 'ثلاث', 'وستين', 'وستمائة']",False,True,True,,3,663.0,"<re.Match object; span=(0, 50), match=' لعشر ان بقين من ربيع الاول سنة ثلاث وستين وستمائ>"
يوم السبت رابع عشري رجب الفرد سنة ثمان وأربعين وستمائة,24,Yawm al-sabt,7.0,648,"['يوم', 'السبت', 'رابع', 'عشري', 'رجب', 'الفرد', 'سنة', 'ثمان', 'واربعين', 'وستمائة']",False,True,True,14.0,7,648.0,"<re.Match object; span=(0, 55), match=' يوم السبت رابع عشري رجب الفرد سنة ثمان واربعين و>"
في يوم الجمعة لخمس خلون من المحرم من سنة سبع وخمسين وأربع ماية,5,Yawm al-juma,1.0,457,"['في', 'يوم', 'الجمعة', 'لخمس', 'خلون', 'من', 'المحرم', 'من', 'سنة', 'سبع', 'وخمسين', 'واربع', 'ماية']",False,True,True,,1,457.0,"<re.Match object; span=(0, 63), match=' في يوم الجمعة لخمس خلون من المحرم من سنة سبع وخم>"
يوم الأحد رابع عشري شهر جمادى الأول سنة ثلاث عشرة وسبع مائة,24,Yawm al-ahad,5.0,713,"['يوم', 'الاحد', 'رابع', 'عشري', 'شهر', 'جمادى', 'الاول', 'سنة', 'ثلاث', 'عشرة', 'وسبع', 'مائة']",False,True,True,14.0,5,713.0,"<re.Match object; span=(0, 60), match=' يوم الاحد رابع عشري شهر جمادى الاول سنة ثلاث عشر>"
 رابع عشري جمادى الأول سنة ثلاث عشرة وسبعمائة,24,,5.0,713,"['رابع', 'عشري', 'جمادى', 'الاول', 'سنة', 'ثلاث', 'عشرة', 'وسبعمائة']",False,True,True,14.0,5,713.0,"<re.Match object; span=(0, 45), match=' رابع عشري جمادى الاول سنة ثلاث عشرة وسبعمائة'>"
يوم الجمعة ثالث شعبان المبارك سنة خمس وسبع مائة,3,Yawm al-juma,8.0,705,"['يوم', 'الجمعة', 'ثالث', 'شعبان', 'المبارك', 'سنة', 'خمس', 'وسبع', 'مائة']",False,False,True,,,705.0,"<re.Match object; span=(0, 48), match=' يوم الجمعة ثالث شعبان المبارك سنة خمس وسبع مائة'>"
